name,calories,proteins,fats,carbs
"Завтрак туриста (баранина), консервы",210.0,18.0,15.2,0.2
Кабан,122.0,21.51,3.33,0.0
"Кабан, запеченный",160.0,28.3,4.38,0.0
Карибу (канадский олень),127.0,22.63,3.36,0.0
"Карибу (канадский олень), запеченный",167.0,29.77,4.42,0.0
"Карибу, костный мозг (Аляска)",786.0,6.7,84.4,0.0
"Карибу, мясо задней четвертины, приготовленное (Аляска)",159.0,28.81,4.82,0.0
"Карибу, огузок (кострец), наполовину высушенный (Аляска)",255.0,52.06,5.23,0.0
"Карибу, окорок (Аляска)",122.0,22.63,3.37,0.0
Козлятина,109.0,20.6,2.31,0.0
"Козлятина, запеченная",143.0,27.1,3.03,0.0
Конина,133.0,21.39,4.6,0.0
Конина 1 кат.,167.0,19.5,9.9,0.0
Конина 2 кат.,121.0,20.9,4.1,0.0
"Конина тушеная, консервы",150.0,18.7,8.4,0.0
"Конина, запеченная",175.0,28.14,6.05,0.0
"Котлеты отбивные из баранины, по 1-416",394.0,20.6,30.6,9.1
"Котлеты рубленые из баранины, по 1-442",240.0,13.6,14.8,12.9
"Кролик жареный, по 2-18",241.0,31.5,12.7,0.1
"Кролик отварной, по 2-6",194.0,25.5,10.4,0.0
"Кролик, дикий",114.0,21.79,2.32,0.0
"Кролик, дикий, тушеный",173.0,33.02,3.51,0.0
Легкое баранье,83.0,15.6,2.3,0.0
"Легкое баранье, тушеное",113.0,19.88,3.1,0.0
Лось,111.0,22.95,1.45,0.0
"Лось, вырезка, только мясо, жаренный на открытом огне",162.0,30.76,3.41,0.0
"Лось, запеченный",146.0,30.19,1.9,0.0
"Лось, корейка, только мясо, жаренный на открытом огне",167.0,31.0,3.84,0.0
"Лось, тазобедренный отруб, только мясо, жаренный на открытом огне",156.0,30.94,2.64,0.0
Медведь,161.0,20.1,8.3,0.0
Медведь полярный (белый) (Аляска),130.0,25.6,3.1,0.0
"Медведь, приготовленный на медленном огне",259.0,32.42,13.39,0.0
"Медведь, черный (Аляска)",155.0,20.1,8.3,0.0
Мозги бараньи,123.0,9.7,9.4,0.0
"Мозги бараньи, жаренные на сковороде",273.0,16.97,22.19,0.0
"Мозги бараньи, тушеные",145.0,12.55,10.17,0.0
"Мозги, бараньи",122.0,10.4,8.58,0.0
"Мясной набор, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, вареная",294.0,24.52,20.94,0.0
"Мясной набор, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, сырая",267.0,16.88,21.59,0.0
"Мясной набор, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, вареная",271.0,25.51,18.01,0.0
